Ticker,Method,Model,RMSE,MAE
S&P 500,ICSS,Базовая GARCH,1.7911624879263262,1.6374056433086075
S&P 500,ICSS,GARCH-dummy,1.222201153792932,0.7968697926759709
S&P 500,ICSS,Гибрид (GARCH-dummy+LSTM),1.2518766001865995,0.8807211347655391
S&P 500,KL,Базовая GARCH,1.7911624879263262,1.6374056433086075
S&P 500,KL,GARCH-dummy,1.2208436325204868,0.7904511428436971
S&P 500,KL,Гибрид (GARCH-dummy+LSTM),1.227470996989597,0.6953439552805459
S&P 500,KS,Базовая GARCH,1.7911624879263262,1.6374056433086075
S&P 500,KS,GARCH-dummy,1.2222474362624272,0.7971252665485603
S&P 500,KS,Гибрид (GARCH-dummy+LSTM),1.2192288616907097,0.7072799092941241
IMOEX,ICSS,Базовая GARCH,8.300075279379715,7.325562774584527
IMOEX,ICSS,GARCH-dummy,1.1303377011356393,0.7860786030268637
IMOEX,ICSS,Гибрид (GARCH-dummy+LSTM),2.2286677237547043,2.1252191835533645
IMOEX,KL,Базовая GARCH,8.300075279379715,7.325562774584527
IMOEX,KL,GARCH-dummy,1.130381005229177,0.7859545592515885
IMOEX,KL,Гибрид (GARCH-dummy+LSTM),1.145148375157542,0.8951127034068788
IMOEX,KS,Базовая GARCH,8.300075279379715,7.325562774584527
IMOEX,KS,GARCH-dummy,1.129711465857292,0.785213192872679
IMOEX,KS,Гибрид (GARCH-dummy+LSTM),1.3923627497290745,1.2450803399783221
